Report_Date,Fund_Code,Fund_Name,Security_Code,Security_Name,Asset_Type_1,Asset_Type_2,Asset_Type_3,Bloomberg_Sector_L1,Bloomberg_Sector_L2,GICS_L1,Country,Region,Currency,Rating,Quantity,Nominal_Amount,Market_Value_Base_Currency,Exposure_Base_Currency,Parent_Fund_Code,Parent_Fund_Name,Accounting_Code,Report_Subset
2023-06-25 00:00:00,FND017,Sigma Fund,SEC000000,Security G,C,F,L,Energy,Machinery,Financials,Netherlands,North America,GBP,B,9002,39704210.53,7628989.112,-20035225.37,,,AC03,RESTATED
2023-07-16 00:00:00,FND003,Delta Fund,SEC000001,Security C,A,H,P,Industrials,Software,Materials,Canada,Asia,CAD,B,3009,20028278.94,4921536.058,-36530462.97,PFND05,European Parent Fund,AC01,MAIN
2024-06-21 00:00:00,FND008,Gamma Fund,SEC000002,Security C,C,H,N,Materials,Pharma,Information Technology,Canada,Europe,CAD,CCC,8091,42903597.35,-1554213.853,45802262.08,PFND01,,AC04,ADJ
2024-05-17 00:00:00,FND010,Zeta Fund,SEC000003,Security A,A,J,P,Energy,Banks,Materials,UK,North America,EUR,,2444,75815886.01,9301268.671,-7849897.438,PFND01,,AC01,RESTATED
2024-08-02 00:00:00,FND017,Alpha Fund,SEC000004,Security G,E,G,M,Industrials,Software,Health Care,Italy,North America,USD,,8328,45289554.94,-7518711.584,-41815776.9,PFND01,European Parent Fund,AC01,ADJ
2023-07-31 00:00:00,FND002,Beta Fund,SEC000005,Security F,C,I,K,Materials,Metals,Financials,Netherlands,Asia,CAD,BBB,12442,58560191.73,7110333.293,41769809.7,PFND04,Global Parent Fund,AC01,RESTATED
2024-09-07 00:00:00,FND013,Omega Fund,SEC000006,Security F,A,I,M,Materials,Banks,Health Care,Italy,Europe,JPY,AAA,17501,1227130.496,8501509.96,-38237430.95,PFND05,European Parent Fund,AC02,ADJ
2023-12-15 00:00:00,FND003,Alpha Fund,SEC000007,Security E,C,J,N,Financials,Pharma,Materials,US,Asia,JPY,AAA,17548,96947341.9,3172225.891,-11260390.66,PFND01,,AC04,ADJ
2023-07-05 00:00:00,FND006,Delta Fund,SEC000008,Security E,E,F,O,Technology,Metals,Utilities,Netherlands,Europe,JPY,B,2392,64779751.99,-4785443.241,38066567.39,PFND04,Global Parent Fund,AC04,MAIN
2024-02-03 00:00:00,FND015,Delta Fund,SEC000009,Security G,E,I,O,Financials,Oil & Gas,Industrials,Canada,Asia,CAD,BB,8960,60392150.26,-9391983.155,37556304.18,PFND04,Global Parent Fund,AC02,MAIN
2024-06-19 00:00:00,FND007,Gamma Fund,SEC000010,Security A,E,H,P,Industrials,Metals,Industrials,Spain,Asia,USD,CCC,6739,81501168.77,-2032766.802,11401631.44,PFND01,,AC04,MAIN
2024-08-07 00:00:00,FND012,Sigma Fund,SEC000011,Security D,C,F,P,Materials,Software,Industrials,Netherlands,North America,CAD,CCC,5825,91994667.59,1698936.692,-9139400.059,PFND05,,AC02,ADJ
2023-12-12 00:00:00,FND004,Alpha Fund,SEC000012,Security G,D,G,M,Energy,Pharma,Information Technology,Canada,Europe,CAD,CCC,1522,3041130.312,-7118807.035,41436688.79,PFND02,,AC02,MAIN
2024-01-02 00:00:00,FND002,Zeta Fund,SEC000013,Security E,B,H,M,Healthcare,Machinery,Financials,Germany,Europe,CAD,AA,1717,50126794.96,-4199175.607,17736384.62,,,AC02,MAIN
2024-07-08 00:00:00,FND018,Delta Fund,SEC000014,Security G,C,H,O,Materials,Machinery,Materials,UK,North America,EUR,A,8323,72658541.73,457328.2384,-17943394.19,PFND05,Growth Parent Fund,AC01,RESTATED
2024-12-31 00:00:00,FND019,Gamma Fund,SEC000015,Security C,A,H,L,Healthcare,Machinery,Health Care,France,Asia,EUR,,11233,78343698.69,-6725601.517,28808820.44,,European Parent Fund,AC04,ADJ
2023-06-17 00:00:00,FND015,Lambda Fund,SEC000016,Security E,E,H,P,Healthcare,Electric,Information Technology,Netherlands,Europe,JPY,AA,16911,11704658.24,1795154.827,-28878200.03,PFND05,Growth Parent Fund,AC04,ADJ
2023-03-10 00:00:00,FND018,Beta Fund,SEC000017,Security E,E,G,P,Financials,Software,Health Care,France,Europe,USD,BBB,1670,85627845.02,8539622.769,-37931374.28,PFND04,Growth Parent Fund,AC01,ADJ
2024-03-08 00:00:00,FND018,Sigma Fund,SEC000018,Security A,C,F,M,Technology,Machinery,Financials,US,North America,USD,A,15133,26485292.27,-960174.3555,42481246.75,PFND05,Growth Parent Fund,AC02,ADJ
2024-01-27 00:00:00,FND001,Omega Fund,SEC000019,Security E,C,G,P,Materials,Pharma,Energy,Spain,Asia,CAD,B,18717,44591607.91,1225517.192,-3312552.842,PFND04,Global Parent Fund,AC03,MAIN
2024-05-27 00:00:00,FND020,Delta Fund,SEC000020,Security E,E,G,P,Industrials,Oil & Gas,Health Care,France,Asia,USD,CCC,10186,55696279.73,-6917608.884,-42566416.49,PFND02,,AC03,ADJ
2023-03-17 00:00:00,FND002,Delta Fund,SEC000021,Security A,E,I,K,Financials,Pharma,Materials,Netherlands,Asia,GBP,CCC,16597,8428385.337,1516435.256,10929885.17,PFND01,European Parent Fund,AC03,MAIN
2023-09-08 00:00:00,FND005,Delta Fund,SEC000022,Security D,D,H,O,Utilities,Electric,Health Care,Netherlands,North America,CAD,BBB,16981,80663891.01,-7039211.522,16270844.61,PFND05,Global Parent Fund,AC02,RESTATED
2023-01-07 00:00:00,FND017,Gamma Fund,SEC000023,Security G,D,H,N,Energy,Machinery,Information Technology,Germany,Europe,GBP,CCC,15077,47130311.41,2193332.643,-2843781.684,PFND01,Growth Parent Fund,AC04,RESTATED
2024-03-20 00:00:00,FND015,Alpha Fund,SEC000024,Security E,D,I,K,Energy,Electric,Information Technology,Germany,Europe,GBP,BBB,15951,65725195.85,6621646.184,42959064.95,PFND04,,AC03,ADJ
2023-02-14 00:00:00,FND014,Gamma Fund,SEC000025,Security F,B,I,P,Industrials,Software,Financials,Germany,Asia,USD,CCC,16989,63775732.82,-3242906.026,-7351047.281,PFND01,,AC01,ADJ
2024-12-04 00:00:00,FND001,Beta Fund,SEC000026,Security G,A,F,P,Industrials,Pharma,Materials,US,North America,GBP,AA,3880,47469711.36,8606787.177,-22597866.56,PFND02,European Parent Fund,AC03,ADJ
2023-11-22 00:00:00,FND012,Gamma Fund,SEC000027,Security C,C,J,K,Financials,Machinery,Industrials,Spain,Asia,USD,A,5826,26503047.28,8427217.002,-33110867.51,PFND02,European Parent Fund,AC02,ADJ
2023-06-02 00:00:00,FND018,Delta Fund,SEC000028,Security A,C,H,N,Energy,Machinery,Health Care,Canada,Asia,CAD,AAA,10420,59403749.94,1069152.264,-24081449.1,PFND04,Global Parent Fund,AC03,MAIN
2023-07-03 00:00:00,FND002,Gamma Fund,SEC000029,Security C,E,H,L,Utilities,Pharma,Financials,Germany,Europe,EUR,AA,9640,37464641.58,9913024.221,2103936.761,,Growth Parent Fund,AC02,RESTATED
2023-04-23 00:00:00,FND006,Gamma Fund,SEC000030,Security G,A,J,M,Utilities,Software,Materials,France,Asia,CAD,BBB,17987,70210311.52,-6651011.162,20516190.91,PFND01,Global Parent Fund,AC02,ADJ
2023-07-09 00:00:00,FND009,Sigma Fund,SEC000031,Security E,E,G,N,Utilities,Oil & Gas,Energy,UK,Asia,CAD,B,12995,14602683.44,6877885.52,-25037774.19,PFND02,Global Parent Fund,AC03,MAIN
2023-10-18 00:00:00,FND010,Lambda Fund,SEC000032,Security G,E,G,L,Technology,Oil & Gas,Information Technology,Italy,Europe,GBP,BB,12645,39442896.95,5784729.487,-16837923.96,PFND02,European Parent Fund,AC02,RESTATED
